Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2025,Commonwealths Attorney,General Fund,Commonwealth Attorney,Contractual Services,Telephone,3114.61,5630
2025,Commonwealths Attorney,General Fund,Commonwealth Attorney,Personnel Services,Temporary/Casual Employment,146440.06,31368
2025,Commonwealths Attorney,General Fund,Commonwealth Attorney,Personnel Services,Virginia Local Disability Program,19562.52,0
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",AFMS,3230143,1229802
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Books-Under $1000,0,1000
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,500
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Computer Software-Under $1000,3288,7500
2025,Communications and Technology,General Fund,Information Technology,,Dependent Care FSA,8798.47,0
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Employee Training Expense,43168.87,87250
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Employers Contrb Hospitalizatn,776607.56,758530
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Food,633.26,1000
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Group Life Insurance Perm,72073.11,96007
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Membership Dues & Subscription,365,1618
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Mileage,0,1000
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Nonmonetary Awardsrd Pap,0,1040
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Other Contractual Services,4427760.43,7360987
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Parking Validations,1,11400
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Rent Of Land-Bldgs & Offices,101970,359713
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,3251.25,4335
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Retirement,1020982,1020982
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Retirement Expense (Vsrs Emp),187322.45,201809
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Semi-Monthly/Monthly,6494746.18,7166911
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Semi-Monthly/Monthly Overtime,132.35,4184
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Small Tools,3064.47,750
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Social Security Fica Tax,487162.51,547580
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Special Pay & Allowances,17225.75,11736
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,14965.43,23600
2025,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Supplies-Office,5753.32,23371
2025,Communications and Technology,General Fund,Information Technology,Equipment,Technology Equipment,3083895.2,3068328
2025,Communications and Technology,General Fund,Information Technology,Contractual Services,Telephone,1129186.58,1533597
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Temporary/Casual Employment,88633.59,17152
2025,Communications and Technology,General Fund,Information Technology,Personnel Services,Virginia Local Disability Program,13523.7,0
2025,Communications and Technology,General Fund,Is-Chargeouts Data Processing,State Support,Chg Out-Gf Telephone Support,0,-258480
2025,Communications and Technology,General Fund,Peoplesoft,Contractual Services,Employee Training Expense,4245.75,5722
2025,Communications and Technology,General Fund,Peoplesoft,Contractual Services,Other Contractual Services,361372.25,479195
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Books-Under $1000,0,500
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,750
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Computer Software-Under $1000,0,1000
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Electricity,5397.32,6350
2025,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Employee Training Expense,0,1577
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Gas-Natural & Propane,2775.82,3200
2025,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Membership Dues & Subscription,275,200
2025,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Other Contractual Services,596158.06,645370
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Repairs-Signal System,16945.14,30000
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,3904.86,4335
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Small Tools,312.77,500
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,0,1000
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,0,404
2025,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Supplies-Office,688.01,1567
2025,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Telephone,0,600
2025,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Water & Sewage Disposal,400.22,400
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,,Dependent Care FSA,0,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Employers Contrb Hospitalizatn,7612.88,8531
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Equipment,Equip-Lease/Purchase,0,4855
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Group Life Insurance Perm,1094.57,1358
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Contractual Services,Other Contractual Services,0,-200000
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Retirement Expense (Vsrs Emp),8295.81,11102
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Semi-Monthly/Monthly,98299.42,101332
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Semi-Monthly/Monthly Overtime,193.77,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Social Security Fica Tax,7456.68,7752
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Special Pay & Allowances,0,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Temporary/Casual Employment,0,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Virginia Local Disability Program,687.39,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Advertising,0,2250
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,1000
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,0,2736
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,,Dependent Care FSA,3245.41,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Electricity,944042.03,843734
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Employers Contrb Hospitalizatn,346548.16,361672
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Equipment,Equip-Lease/Purchase,0,3500
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Equipment,Equip-Software-Over $1000,0,2000
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Gas-Natural & Propane,109931.77,118891
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",0,7000
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Group Life Insurance Perm,23032.78,31870
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Membership Dues & Subscription,0,1601
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Other Contractual Services,101716.77,123909
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Parking Validations,4723,22000
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Promotional Activities,0,7534
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Refuse & Garbage Disposal,65790.08,27200
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Repairs-Buildings,49702.02,64978
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,1540
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,2455.76,6000
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,10522.5,14030
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Retirement,271010,271010
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Retirement Expense (Vsrs Emp),88335.96,95489
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Semi-Monthly/Monthly,2136016.39,2377758
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Semi-Monthly/Monthly Overtime,82313.43,34288
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Small Tools,12764.83,7130
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Social Security Fica Tax,176158.38,203198
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Special Pay & Allowances,5919.25,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,59245.48,26500
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,11545.08,5454
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,0,969
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Supplies-Office,5883.35,13386
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Equipment,Technology Equipment,0,7208
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Telephone,14437.33,14980
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Temporary/Casual Employment,169187.07,244027
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Virginia Local Disability Program,6847.94,0
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Water & Sewage Disposal,274426.14,285635
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,"Materials, Supplies, and Repairs",Electricity,57210.47,50170
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,"Materials, Supplies, and Repairs",Gas-Natural & Propane,10576.77,12936
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,Contractual Services,Other Contractual Services,260812.42,514073
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,Contractual Services,Refuse & Garbage Disposal,0,1802
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,"Materials, Supplies, and Repairs",Repairs-Buildings,0,3500
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,8813.38,2354
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,"Materials, Supplies, and Repairs",Supplies-Office,0,1000
2025,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,Contractual Services,Water & Sewage Disposal,1398,16109
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Contractual Services,Advertising,1677.34,3000
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,70.46,1000
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,236.53,300
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,,Dependent Care FSA,2403.85,0
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Electricity,35963.21,60686
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Employers Contrb Hospitalizatn,84399.26,80140
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Gas-Natural & Propane,9556.82,21560
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Group Life Insurance Perm,5125.34,5478
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Contractual Services,Membership Dues & Subscription,380,155
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Contractual Services,Other Contractual Services,136013.16,161722
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Repairs-Buildings,0,5000
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Repairs-Office Equipment,1123.7,2000
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Retirement,66873,66873
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Retirement Expense (Vsrs Emp),16113.03,20541
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Semi-Monthly/Monthly,456791.94,408578
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Semi-Monthly/Monthly Overtime,881.28,600
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Small Tools,0,25
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Social Security Fica Tax,36489.86,34522
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Special Pay & Allowances,0,0
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,825.5,1757
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,63.33,300
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,160.41,1000
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Supplies-Office,1166.39,1800
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Temporary/Casual Employment,40472.65,42101
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Virginia Local Disability Program,846.95,0
2025,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Contractual Services,Water & Sewage Disposal,24928.89,3935
2025,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,"Materials, Supplies, and Repairs",Electricity,232975.77,218146
2025,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,"Materials, Supplies, and Repairs",Gas-Natural & Propane,22017.44,23121
2025,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,Contractual Services,Other Contractual Services,0,14204
2025,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,Contractual Services,Refuse & Garbage Disposal,0,17609
2025,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,Contractual Services,Taxes,32983.68,70000
2025,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,Contractual Services,Water & Sewage Disposal,135386.65,75207
2025,Debt Service,General Fund,Bonded Debt,Department Specific Appropriation,All Purpose Appropriations,559500,166755
2025,Debt Service,General Fund,Bonded Debt,Debt Service/Transfers to CIP,Debt Principal,70705711.51,72543111
2025,Debt Service,General Fund,Bonded Debt,Debt Service/Transfers to CIP,Go Bonds-Expense For New Issue,0,500000
2025,Debt Service,General Fund,Bonded Debt,Debt Service/Transfers to CIP,Go Interest,30294213.04,29976785
2025,Debt Service,General Fund,Bonded Debt,Debt Service/Transfers to CIP,Lease P & I,1568495,1568495
2025,Debt Service,General Fund,Issue Costs-Fiscal Agents Comm,Debt Service/Transfers to CIP,Go Bonds-Expense For New Issue,320739.91,500000
2025,Debt Service,General Fund,Lease Purchase Debt,Debt Service/Transfers to CIP,Lease P & I,60592.65,1443906
2025,Debt Service,General Fund,Transfer To Cip Program,Debt Service/Transfers to CIP,Xfer To Cip,5681000,5681000
2025,Departmental Support,General Fund,Advisory Services,Contractual Services,Consulting Services,200273.46,425000
2025,Departmental Support,General Fund,All Purpose Appropriations,Department Specific Appropriation,All Purpose Appropriations,4339.26,489688
2025,Departmental Support,General Fund,Boards and Commission Expenses,Department Specific Appropriation,All Purpose Appropriations,4740.74,28445
2025,Departmental Support,General Fund,Cementaries Support,Department Specific Appropriation,All Purpose Appropriations,0,355593
2025,Departmental Support,General Fund,Citywide Grant Reimbursement,Department Specific Appropriation,All Purpose Appropriations,0,0
2025,Departmental Support,General Fund,Citywide Turnover,Personnel Services,Personnel Turnover Adj-Sm,0,-8000000
2025,Departmental Support,General Fund,Contingent Fund,Department Specific Appropriation,All Purpose Appropriations,73553,365018
2025,Departmental Support,General Fund,Development Programs,Department Specific Appropriation,All Purpose Appropriations,0,593000
2025,Departmental Support,General Fund,Eoc Support,Department Specific Appropriation,Un-Allotted Funding,0,23460
2025,Departmental Support,General Fund,Industrial Commission Of Va,Contractual Services,Taxes,126381.4,137671
2025,Departmental Support,General Fund,Industrial Commission Of Va,Contractual Services,Workers Compensation,6387275.75,5953500
2025,Departmental Support,General Fund,Legal Services,Contractual Services,Legal & Professional Services,106635.96,890636
2025,Departmental Support,General Fund,Line of Duty Enhancement,Contractual Services,Workers Compensation,1558154.42,1600000
2025,Departmental Support,General Fund,Municipal Parking,Personnel Services,Employee Parking Supplement,1549506,1980449
2025,Departmental Support,General Fund,Municipal Parking,Department Specific Appropriation,Parking Incentives,72540,104100
2025,Departmental Support,General Fund,Retirement Benefit Reserve,Personnel Services,Retiree Death Benefit,0,45000
2025,Departmental Support,General Fund,Retirement Hospitalization,Contractual Services,Other Contractual Services,42040,0
2025,Departmental Support,General Fund,Retirement Hospitalization,Personnel Services,Retiree Hospitalization Supplement,14125,631119
2025,Departmental Support,General Fund,Retirement Hospitalization,Personnel Services,Retirement,168316,183900
2025,Departmental Support,General Fund,Retirement Hospitalization,Personnel Services,Retirement Expense (Vsrs Emp),-95949.5,520000
2025,Departmental Support,General Fund,Risk Management,Contractual Services,Ins-Claims & Legal Costs,440840.07,1000000
2025,Departmental Support,General Fund,Risk Management,Contractual Services,Ins-Gen Liability & Property,430465.38,5020000
2025,Departmental Support,General Fund,Risk Management,Contractual Services,Ins-Property Losses,0,20000
2025,Departmental Support,General Fund,Risk Management,Contractual Services,"Ins-Self, 3RD Party, Auto Liab",615714.39,700000
2025,Departmental Support,General Fund,Smart Processing,Contractual Services,Other Contractual Services,0,221193
2025,Departmental Support,General Fund,Sor Initiative,Department Specific Appropriation,All Purpose Appropriations,0,0
2025,Departmental Support,General Fund,Sor Initiative,Contractual Services,Other Contractual Services,60000,375000
2025,Departmental Support,General Fund,Sor Initiative,Personnel Services,Semi-Monthly/Monthly,0,159950
2025,Departmental Support,General Fund,Undesignated Reserve,Department Specific Appropriation,All Purpose Appropriations,0,2555747
2025,Departmental Support,General Fund,Unemployment Compensation,Contractual Services,Taxes,78402.91,220000
2025,Development,General Fund,Development Division,Department Specific Appropriation,All Purpose Appropriations,2435933.6,5848184
2025,Development,General Fund,Development Division,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5922.04,7656
2025,Development,General Fund,Development Division,,Dependent Care FSA,899.99,0
2025,Development,General Fund,Development Division,Contractual Services,Employee Training Expense,11836.4,24000
2025,Development,General Fund,Development Division,Personnel Services,Employers Contrb Hospitalizatn,201025.93,182697
2025,Development,General Fund,Development Division,"Materials, Supplies, and Repairs",Food,704.26,1000
2025,Development,General Fund,Development Division,Personnel Services,Group Life Insurance Perm,20714.82,24020
2025,Development,General Fund,Development Division,Contractual Services,Ind/Comm Marketing,141975.75,213358
2025,Development,General Fund,Development Division,Contractual Services,Membership Dues & Subscription,20254.2,12765
2025,Development,General Fund,Development Division,Contractual Services,Other Contractual Services,550087.34,552900
2025,Development,General Fund,Development Division,Contractual Services,Parking Validations,12556.3,7747
2025,Development,General Fund,Development Division,Department Specific Appropriation,Property Acquisition,278890.93,345750
2025,Development,General Fund,Development Division,Contractual Services,Rent Of Land-Bldgs & Offices,159758.62,169577
2025,Development,General Fund,Development Division,Personnel Services,Retirement,122367,122367
2025,Development,General Fund,Development Division,Personnel Services,Retirement Expense (Vsrs Emp),113440.87,93867
2025,Development,General Fund,Development Division,Personnel Services,Semi-Monthly/Monthly,1805870.79,1769369
2025,Development,General Fund,Development Division,Personnel Services,Semi-Monthly/Monthly Overtime,3028.94,0
2025,Development,General Fund,Development Division,Contractual Services,Servce Contracts(Annual) - Software,40739.16,29311
2025,Development,General Fund,Development Division,Personnel Services,Social Security Fica Tax,139428.79,137340
2025,Development,General Fund,Development Division,Personnel Services,Special Pay & Allowances,8076.95,0
2025,Development,General Fund,Development Division,"Materials, Supplies, and Repairs",Supplies-Office,6346.14,9750
2025,Development,General Fund,Development Division,Contractual Services,Telephone,24084.48,20000
2025,Development,General Fund,Development Division,Personnel Services,Temporary/Casual Employment,68100.94,-14909
2025,Development,General Fund,Development Division,Contractual Services,Traveling Expense,27600.1,42000
2025,Development,General Fund,Development Division,Personnel Services,Virginia Local Disability Program,6606.12,0
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion","Materials, Supplies, and Repairs",Books-Under $1000,604.8,1000
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",,Dependent Care FSA,99.97,0
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Contractual Services,Employee Training Expense,1400,17890
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Employers Contrb Hospitalizatn,52555.76,27916
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion","Materials, Supplies, and Repairs",Food,8180.9,6150
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Group Life Insurance Perm,7033.96,12121
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Contractual Services,Membership Dues & Subscription,14829.45,12500
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Contractual Services,Other Contractual Services,0,242885
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Contractual Services,Parking Validations,110,8000
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Contractual Services,Promotional Activities,4998.13,7000
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Retirement,65366,65366
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Retirement Expense (Vsrs Emp),35904.15,42816
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Semi-Monthly/Monthly,637457.49,901632
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Semi-Monthly/Monthly Overtime,95.27,0
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Social Security Fica Tax,48114.56,69188
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Special Pay & Allowances,5769.25,0
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion","Materials, Supplies, and Repairs",Supplies-Office,6850.13,9700
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion","Materials, Supplies, and Repairs",Supplies-Printing & Reproductn,50.83,3000
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Contractual Services,Telephone,4863.23,2000
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Temporary/Casual Employment,0,0
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Contractual Services,Traveling Expense,6813.32,24000
2025,"Diversity, Equity, and Inclusion",General Fund,"Diversity, Equity, and Inclusion",Personnel Services,Virginia Local Disability Program,2526.96,0
2025,Elections,General Fund,Elections,Contractual Services,Advertising,985.88,2000
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Books-Under $1000,0,200
2025,Elections,General Fund,Elections,Contractual Services,Car Pool Charges,0,1000
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,22922.09,30500
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,0,88
2025,Elections,General Fund,Elections,,Dependent Care FSA,0,0
2025,Elections,General Fund,Elections,Personnel Services,Employers Contrb Hospitalizatn,48765.32,48460
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Food,1058.3,1000
2025,Elections,General Fund,Elections,Personnel Services,Group Life Insurance Perm,4705.15,5125
2025,Elections,General Fund,Elections,Contractual Services,Membership Dues & Subscription,2257,1500
2025,Elections,General Fund,Elections,Contractual Services,Mileage,2669.45,1000
2025,Elections,General Fund,Elections,Contractual Services,Other Contractual Services,558949.12,696573
2025,Elections,General Fund,Elections,Contractual Services,Parking Validations,992,12700
2025,Elections,General Fund,Elections,Contractual Services,Rent Of Equipment,0,205
2025,Elections,General Fund,Elections,Contractual Services,Rent Of Land-Bldgs & Offices,1600,1200
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,1000
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,0,1500
2025,Elections,General Fund,Elections,Personnel Services,Retirement,24373,24373
2025,Elections,General Fund,Elections,Personnel Services,Retirement Expense (Vsrs Emp),29627.31,31980
2025,Elections,General Fund,Elections,Personnel Services,Semi-Monthly/Monthly,456685.84,374371
2025,Elections,General Fund,Elections,Personnel Services,Semi-Monthly/Monthly Overtime,18305.71,31500
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Signs,0,1617
2025,Elections,General Fund,Elections,"Materials, Supplies, and Repairs",Small Tools,0,150
2025,Elections,General Fund,Elections,Personnel Services,Social Security Fica Tax,39153.24,47632
2025,Elections,General Fund,Elections,Personnel Services,Special Pay & Allowances,0,18376
